"","logFC","lr","pvalue","qvalue"
"ACACA",-0.14920789637041,0.0383151029667488,0.844811764295266,0.969456122961781
"ACAD10",-0.289908281639473,3.91775296082778,0.0477787016988658,0.197793550043692
"ACADVL",0.127660662741992,0.201132268069387,0.653808459965868,0.866493139713801
"ACOT2",-0.102406545546522,0.117481295811558,0.731782446571547,0.895234330563184
"ACSF2",-1.66219274633564,2.96884523932238,0.0848824253201734,0.287927169588253
"ACSL5",-0.278967934492554,14.6177610053106,0.000131667755732146,0.00146933582483699
"ACTN1",0.151718019683873,0.448388492974004,0.503101228420698,0.767104843334529
"ACVR1B",-0.0235062965549672,0.117274400035456,0.732009631956161,0.895234330563184
"ACVR1C",-1.20353847427832,0.609526013489528,0.434966330261889,0.709584903181472
"ACVR2A",-0.335926700262116,0.271354650283683,0.602424505749999,0.841863646873865
"ADAR",-0.114623003036432,0.182679708124624,0.669080384260589,0.878693759330086
"ADD1",0.272772757517565,1.18768885918576,0.27579623693038,0.578918490367253
"ADORA2A",0.0955338042935102,0.0475032890071247,0.827466126988695,0.95381574518158
"AFDN",-1.31596478414159,5.07679416042288,0.0242481648824664,0.129660326107633
"AHR",0.0887831330388405,0.0624625950165409,0.802645211091908,0.934975700068098
"AKT1",-0.161316377988643,0.249065341844926,0.617733969176349,0.846997632832766
"AKT2",0.0515346561603426,0.0693295627527277,0.792315448044154,0.932056270905115
"ALDH1L1",-20.6268062893847,0.816188168859867,0.366297018127344,0.657456186382412
"ALDH1L2",-1.74991889127695,0.923594987155298,0.336532813145692,0.633570332817072
"ALDH3A2",0.232185478421084,0.511211809243719,0.474614743174697,0.748444225144093
"ALDH8A1",-1.23142962588343,0.850232300682137,0.356486629344489,0.65315373284588
"ALDOA",0.208618142613878,0.741135174794181,0.389297483656288,0.677179956930383
"ALDOC",0.364498077762235,1.05261442068263,0.304905729781268,0.600453738955438
"ANGPT2",33.6278693667271,1.53351859781844,0.215585133138071,0.498220585405667
"APC",-0.167871357231681,6.09634009695077,0.0135462153471374,0.0862031885726926
"ARAF",-0.18934685683994,6.84584015861822,0.00888479060855563,0.0639372782111012
"AREG",2.34531380818942,3.4680169846979e-08,0.999851413050444,1
"ATG14",0.348060594992006,3.85795088836181,0.0495107613178496,0.202783437312469
"ATG7",0.401275273264731,6.6445336545404,0.00994605087963962,0.0702610933699313
"ATP5MF",0.337891029549663,1.33444573123677,0.248015854933462,0.542534682666948
"ATP5MG",-0.496062061345532,65.9089541918087,4.44089209850063e-16,2.63037455065037e-14
"ATP5PD",0.077018377992892,0.101324661286299,0.750245742693223,0.901231235372514
"ATP6V1F",0.17986656466775,11.1077526352281,0.000859676001434329,0.00870987527768991
"AURKA",0.0467632619907612,3.806347507287,0.0510586766023396,0.205838643894249
"B3GAT1",-5.65493649904078,6.59237002764712e-08,0.999795138265795,1
"BATF",0.124670428280981,0.941373900853989,0.331924759818203,0.629512475517282
"BATF3",-1.20132108415969,3.06280993427822,0.0801030351274824,0.275354183250721
"BCL2",-0.980361341605277,68.8028511914173,1.11022302462516e-16,8.54871728961371e-15
"BCL2L1",0.0980001262909801,11.0789807129945,0.000873117813058766,0.00873117813058766
"BCL6",-0.0623451789226584,0.0617754214136994,0.803711505269574,0.934975700068098
"BID",-0.0392483616805552,1.17495436041634,0.278385586419538,0.578918490367253
"BLK",-6.90957702000539,20.4991228925599,5.96585831202923e-06,7.40921112945565e-05
"BTBD6",-0.625528300346302,2.20610533153473,0.137465330834108,0.380749297634041
"BUB1",0.374904744667336,1.41116548585114,0.234863012301722,0.52118235585377
"C3",5.51773802559274,7.4082590039489,0.00649251222917524,0.0485362564705333
"CALM1",-0.582854523107606,1.31515720711604,0.25146303350145,0.546967615243268
"CARD10",12.9422591204448,0,1,1
"CASP3",-0.37767807233514,103.61539968515,0,0
