Code.Class,Name,Accession ,0168_11_Pre_0_none,0168_11_Post_27_full,0168_11_Post_58_none,0168_11_Post_177_none,0168_10_Pre_0_mild,0168_10_Post_19_full,0168_10_Post_30_full,0168_10_Post_58_full,0168_10_Post_96_mild,0168_16_Pre_0_none,0168_16_Post_28_full,1654_9_Pre_0_none,1654_9_Post_93_full,0168_16_Post_59_none,0168_14_Post_28_full,0168_14_Post_63_mild,0168_14_Post_119_mild,1054_14_Pre_0_none,1054_14_Post_16_full,1054_14_Post_30_full,1654_20_Pre_0_none,1654_20_Post_196_mild,1654_18_Pre_0_none,1654_18_Post_92_none,1654_20_Post_299_full,1654_18_Post_153_full,1654_18_Post_191_none,1654_18_Post_279_none,1654_18_Post_376_full,1654_18_Post_467_mild,0168_14_Pre_0_mild
Endogenous,ACACA,NM_198834.1,2,4,3,4,11,5,7,5,5,6,2,5,3,7,6,5,8,6,4,3,53,25,14,4,4,4,7,15,5,29,58
Endogenous,ACAD10,NM_001136538.1,24,14,13,7,26,4,11,10,25,19,8,26,7,6,24,6,16,11,1,2,143,51,45,5,11,14,4,45,16,87,80
Endogenous,ACADVL,NM_001270447.1,155,16,63,23,863,76,15,22,427,205,60,588,41,22,319,345,331,71,14,14,2283,1336,726,28,51,103,19,542,110,1511,2535
Endogenous,ACOT2,NM_006821.4,13,3,10,4,9,10,7,7,21,3,4,33,4,6,20,18,9,5,2,1,129,41,23,2,10,6,3,27,11,61,106
Endogenous,ACSF2,NM_001288968.1,5,3,6,2,3,3,2,4,10,8,1,13,2,1,5,5,7,3,2,5,57,18,13,4,5,2,2,16,5,14,28
Endogenous,ACSL5,NM_203379.1,12,3,9,4,35,8,4,7,26,29,10,72,7,5,35,10,50,6,4,6,242,80,83,9,17,18,8,82,20,133,266
Endogenous,ACTN1,NM_001102.3,24,14,31,15,56,44,4,22,251,199,46,594,27,27,140,100,600,37,7,6,2428,1245,549,26,26,136,6,439,85,1145,2027
Endogenous,ACVR1B,NM_020328.3,9,5,12,4,12,7,11,8,21,21,8,40,2,4,18,11,25,13,7,5,168,88,44,6,17,16,6,52,13,128,111
Endogenous,ACVR1C,NM_145259.2,8,6,6,3,8,6,4,11,8,13,9,11,5,7,14,2,17,7,6,5,23,11,10,10,8,6,7,12,8,15,9
Endogenous,ACVR2A,NM_001616.3,10,6,5,5,10,6,5,8,9,10,7,15,3,10,8,6,7,8,6,4,49,22,13,4,9,9,6,8,9,20,31
Endogenous,ADAR,NM_001111.3,491,27,53,21,581,62,11,26,338,321,53,657,25,53,326,191,677,69,31,9,2316,1820,544,49,67,312,30,1302,175,1124,1739
Endogenous,ADD1,NM_001119.4,44,13,12,5,62,28,11,9,149,131,24,276,19,27,88,45,183,18,15,10,1152,486,281,12,40,90,19,222,71,504,820
Endogenous,ADORA2A,NM_000675.3,11,9,4,6,34,14,7,10,41,21,13,95,5,4,37,47,108,11,4,2,247,173,72,8,8,31,14,65,14,124,165
Endogenous,AFDN,NM_001040000.2,9,6,5,3,31,4,5,2,14,7,3,8,2,4,13,10,8,16,3,3,62,29,27,5,7,9,5,27,4,38,37
Endogenous,AHR,NM_001621.3,18,12,9,10,26,18,6,14,49,51,14,52,8,14,37,13,40,6,15,9,190,90,66,12,17,20,17,100,27,179,193
Endogenous,AKT1,NM_001014432.1,58,4,31,5,157,30,3,9,147,71,21,200,10,10,87,73,128,21,9,3,634,449,188,8,21,28,5,162,23,355,769
Endogenous,AKT2,NM_001626.4,48,17,21,10,122,26,7,13,136,124,24,212,19,21,111,53,167,39,10,5,903,453,231,13,36,82,19,179,39,430,803
Endogenous,ALDH1L1,NM_012190.2,14,3,5,1,2,7,4,3,7,7,5,2,3,6,5,5,6,3,5,1,16,7,2,9,7,5,6,4,4,4,5
Endogenous,ALDH1L2,NM_001034173.3,46,2,4,2,197,6,4,4,4,8,1,3,4,1,3,4,7,6,3,1,27,11,5,2,5,4,8,8,1,10,35
Endogenous,ALDH3A2,NM_001031806.1,38,12,9,14,75,20,9,12,66,42,13,83,2,10,43,20,127,7,7,7,353,159,93,11,26,24,11,105,31,235,513
Endogenous,ALDH8A1,NM_001193480.1,15,6,5,6,13,8,6,4,13,8,3,7,5,4,11,1,9,10,2,8,30,14,7,3,11,7,7,14,11,18,18
Endogenous,ALDOA,NM_184041.2,335,72,109,64,738,158,56,67,641,506,110,1150,93,111,502,203,1115,101,58,38,4503,2228,1212,71,138,305,51,1062,237,2626,6818
Endogenous,ALDOC,NM_005165.2,15,6,11,4,17,6,3,10,37,15,6,30,4,5,16,21,37,4,8,3,104,78,35,6,6,16,9,33,12,76,78
Endogenous,ANGPT2,NM_001147.2,4,1,5,2,6,8,4,2,14,3,6,6,6,9,7,3,3,6,4,2,10,15,6,4,7,4,7,9,5,9,6
Endogenous,APC,NM_000038.3,18,2,8,2,30,14,7,5,41,29,4,75,4,8,30,22,49,8,4,1,237,142,71,2,7,20,4,64,15,122,148
Endogenous,ARAF,NM_001654.3,38,10,18,5,94,15,5,8,125,59,15,138,12,17,65,66,84,35,8,2,383,397,105,11,15,43,8,115,17,245,379
Endogenous,AREG,NM_001657.2,6,1,6,3,2,9,3,3,6,2,9,8,3,7,2,2,5,3,2,3,7,5,4,5,2,6,4,4,3,6,5
Endogenous,ATG14,NM_014924.3,26,9,28,5,31,21,3,12,162,79,19,144,13,12,77,103,90,13,11,14,473,545,109,4,19,53,25,110,28,146,277
Endogenous,ATG7,NM_001136031.2,33,18,19,15,71,28,7,13,131,107,17,240,14,22,107,35,323,10,6,5,947,629,212,13,30,58,19,220,52,652,694
Endogenous,ATP5MF,NM_004889.2,36,13,13,17,73,25,10,10,105,80,16,130,12,13,72,13,216,14,7,6,794,289,199,13,31,68,14,162,53,441,960
Endogenous,ATP5MG,NM_006476.4,127,4,29,6,123,21,5,11,158,88,10,222,7,12,68,49,53,26,6,3,607,460,160,7,13,33,9,115,30,387,680
Endogenous,ATP5PD,NM_006356.2,93,15,18,15,110,28,11,22,123,93,22,191,12,14,71,39,96,17,13,13,741,384,198,19,20,49,12,185,49,451,919
Endogenous,ATP6V1F,NM_001198909.1,80,11,23,9,207,34,6,12,141,79,22,202,18,25,79,43,80,19,12,7,802,463,235,13,32,46,13,200,64,453,899
Endogenous,AURKA,NM_003600.2,9,6,5,6,15,7,5,5,28,24,11,47,6,9,15,13,39,6,11,5,194,105,43,4,14,17,6,43,14,70,185
Endogenous,B3GAT1,NM_054025.2,1,2,6,5,3,4,1,3,4,2,1,4,1,6,1,1,4,5,3,2,8,2,7,5,4,6,3,4,4,1,2
Endogenous,BATF,NM_006399.3,9,10,3,2,14,8,5,2,18,9,10,29,6,6,13,9,52,5,6,3,85,55,34,6,10,15,6,42,12,60,184
Endogenous,BATF3,NM_018664.2,12,4,10,4,6,5,4,6,16,10,4,19,5,8,16,5,10,11,3,2,67,44,21,4,7,5,4,37,9,24,48
Endogenous,BCL2,NM_000657.2,120,6,7,6,265,4,6,6,30,26,10,32,8,8,22,4,11,12,4,7,168,90,120,4,7,9,4,51,19,104,148
Endogenous,BCL2L1,NM_138578.1,171,29,97,21,87,59,6,26,1595,1210,106,1475,122,191,311,315,175,93,31,10,3851,2435,637,27,153,374,42,615,273,1282,2848
Endogenous,BCL6,NM_001706.2,19,13,14,8,44,29,5,21,166,114,36,373,13,30,135,31,336,18,9,7,991,555,298,23,33,51,6,317,43,415,574
Endogenous,BID,NM_197966.1,9,6,7,12,20,7,3,10,42,36,3,94,7,8,32,10,57,6,11,2,274,128,74,7,15,17,9,62,22,146,176
Endogenous,BLK,NM_001715.2,13,5,8,9,10,4,5,5,15,3,14,21,4,11,4,1,15,20,4,10,30,11,28,6,17,18,18,12,14,11,14
Endogenous,BTBD6,NM_033271.2,55,5,12,6,46,10,8,4,62,20,9,49,9,9,29,41,47,23,4,3,221,184,79,5,7,21,6,62,13,91,199
Endogenous,BUB1,NM_004336.3,39,13,19,12,51,12,11,11,117,47,19,139,14,9,50,61,144,14,8,12,522,365,129,9,19,39,18,129,32,264,604
Endogenous,C3,NM_000064.2,15,18,6,9,8,10,12,8,3,9,19,7,6,16,3,1,11,7,4,12,12,8,12,9,13,7,12,10,13,13,17
Endogenous,CALM1,NM_006888.3,32,20,18,14,24,26,11,21,52,29,14,72,12,21,23,14,87,25,11,10,344,130,92,22,25,35,25,73,29,139,246
Endogenous,CARD10,NM_014550.3,7,9,5,8,4,10,7,2,9,6,3,4,4,4,4,3,5,7,5,4,6,11,9,5,6,8,7,4,6,6,9
Endogenous,CASP3,NM_004346.3,84,7,9,5,178,13,3,5,61,50,11,108,8,13,55,29,101,19,8,4,536,209,122,11,19,37,12,129,28,250,452
Endogenous,CASP8,NM_001228.4,62,9,19,13,117,26,5,10,113,145,27,324,10,21,109,33,142,16,16,11,953,479,184,20,34,57,13,252,69,633,487
Endogenous,CBR4,NM_032783.4,12,12,10,4,52,15,11,12,66,38,9,66,11,15,31,22,49,10,8,9,320,171,94,6,12,18,7,77,24,180,265
Endogenous,CCL1,NM_002981.1,7,7,1,4,3,10,5,5,4,7,4,3,6,1,2,1,10,2,4,3,9,4,10,4,5,4,7,6,3,9,8
Endogenous,CCL11,NM_002986.2,7,5,3,10,5,7,6,10,8,6,10,11,6,8,7,1,6,5,6,3,17,6,16,6,6,10,8,7,7,12,13
Endogenous,CCL13,NM_005408.2,5,3,4,1,1,7,7,1,11,4,7,1,3,3,15,4,10,5,4,2,27,14,5,3,2,5,4,5,5,14,21
Endogenous,CCL14,NM_032963.3,7,5,11,1,11,66,4,7,61,11,14,61,8,4,193,46,63,6,4,3,545,359,102,7,9,9,9,140,11,277,260
Endogenous,CCL15,NM_032965.3,5,3,3,3,3,2,5,1,7,2,7,6,2,3,2,3,4,3,2,6,9,4,3,6,5,8,4,6,3,10,8
Endogenous,CCL16,NM_004590.2,1,3,1,7,2,6,3,3,5,5,10,4,2,7,7,6,3,2,10,1,14,21,9,2,6,4,4,5,3,10,11
